Note Name,Frequency (Hz)
C,16.351
C#,17.324
D,18.354
D#,19.445
E,20.601
F,21.827
F#,23.124
G,24.499
G#,25.956
A,27.5
A#,29.135
B,30.868
C,32.703
C#,34.648
D,36.708
D#,38.891
E,41.203
F,43.654
F#,46.249
G,48.999
G#,51.913
A,55
A#,58.27
B,61.735
C,65.406
C#,69.296
D,73.416
D#,77.782
E,82.407
F,87.307
F#,92.499
G,97.999
G#,103.826
A,110
A#,116.541
B,123.471
C,130.813
C#,138.591
D,146.832
D#,155.563
E,164.814
F,174.614
F#,184.997
G,195.998
G#,207.652
A,220
A#,233.082
B,246.942
C,261.626
C#,277.183
D,293.665
D#,311.127
E,329.628
F,349.228
F#,369.994
G,391.995
G#,415.305
A,440
A#,466.164
B,493.883
C,523.251
C#,554.365
D,587.33
D#,622.254
E,659.255
F,698.456
F#,739.989
G,783.991
G#,830.609
A,880
A#,932.328
B,987.767
C,1046.502
C#,1108.731
D,1174.659
D#,1244.508
E,1318.51
F,1396.913
F#,1479.978
G,1567.982
G#,1661.219
A,1760
A#,1864.655
B,1975.533
C,2093.005
C#,2217.461
D,2349.318
D#,2489.016
E,2637.021
F,2793.826
F#,2959.955
G,3135.964
G#,3322.438
A,3520
A#,3729.31
B,3951.066
C,4186.009
C#,4434.922
D,4698.636
D#,4978.032
E,5274.042
F,5587.652
F#,5919.91
G,6271.928
G#,6644.876
A,7040
A#,7458.62
B,7902.132
C,8372.018
C#,8869.844
D,9397.272
D#,9956.064
E,10548.084
F,11175.304
F#,11839.82
G,12543.856
G#,13289.752
A,14080
A#,14917.24
B,15804.264
